Metric,Value
bbox/AP,48.21577710919119
bbox/AP50,64.22247536977271
bbox/AP75,53.15191522941608
bbox/APs,20.0
bbox/APm,40.98734873487348
bbox/APl,56.90673167591485
bbox/AP-liquid-QTRt,nan
bbox/AP-Battery Acid,64.34014555301684
bbox/AP-Bleach,34.084158415841586
bbox/AP-Coolant,38.33922629987615
bbox/AP-Fuel,65.65299387081565
bbox/AP-Hydraulic Fuel,34.23967858970771
bbox/AP-Isopropyl Alcohol,76.89768976897689
bbox/AP-Mineral Oil,26.930693069306926
bbox/AP-Motor Oil,45.24163130598775
segm/AP,45.86560927060269
segm/AP50,63.18489472095153
segm/AP75,50.04239685999672
segm/APs,22.54950495049505
segm/APm,37.980905233380476
segm/APl,55.34623576585537
segm/AP-liquid-QTRt,nan
segm/AP-Battery Acid,57.618684945417606
segm/AP-Bleach,30.60891089108911
segm/AP-Coolant,39.360018131706866
segm/AP-Fuel,57.53064592173504
segm/AP-Hydraulic Fuel,28.657156471949712
segm/AP-Isopropyl Alcohol,80.19801980198018
segm/AP-Mineral Oil,30.297029702970292
segm/AP-Motor Oil,42.65440829797266
